

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
087.799  001.299  001.012: sourcing /Users/cicloid/.vim/plugged/vim-session/plugin/session.vim
088.095  000.168  000.168: sourcing /Users/cicloid/.vim/plugged/vim-projectionist/plugin/projectionist.vim
088.801  000.601  000.601: sourcing /Users/cicloid/.fzf/plugin/fzf.vim
089.810  000.881  000.881: sourcing /Users/cicloid/.vim/plugged/fzf.vim/plugin/fzf.vim
090.570  000.254  000.254: sourcing /Users/cicloid/.vim/plugged/ctrlp.vim/autoload/ctrlp/mrufiles.vim
090.749  000.806  000.552: sourcing /Users/cicloid/.vim/plugged/ctrlp.vim/plugin/ctrlp.vim
091.602  000.053  000.053: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/addparameter.vim
091.735  000.053  000.053: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/addparameternb.vim
091.823  000.043  000.043: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/extractconstant.vim
092.083  000.221  000.221: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/extractmethod.vim
092.179  000.054  000.054: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/extractvariable.vim
092.268  000.050  000.050: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/inlinetemp.vim
092.355  000.050  000.050: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/introducevariable.vim
092.471  000.078  000.078: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/postconditional.vim
092.569  000.060  000.060: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/renameinstancevariable.vim
092.657  000.050  000.050: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/renamelocalvariable.vim
092.738  000.043  000.043: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/refactorings/general/rspec_extractlet.vim
095.039  002.250  002.250: sourcing /Users/cicloid/.vim/plugged/vim-ruby-refactoring/plugin/ruby-refactoring.vim
095.575  000.381  000.381: sourcing /Users/cicloid/.vim/plugged/vim-rails/plugin/rails.vim
096.407  000.689  000.689: sourcing /Users/cicloid/.vim/plugged/vim-rake/plugin/rake.vim
160.687  064.095  064.095: sourcing /Users/cicloid/.vim/plugged/vim-iterm-rspec/plugin/iterm-rspec.vim
161.002  000.147  000.147: sourcing /Users/cicloid/.vim/plugged/vim-spec-finder/plugin/spec-finder.vim
161.196  000.056  000.056: sourcing /Users/cicloid/.vim/plugged/vim-change-hash-syntax/plugin/change-hash-syntax.vim
163.120  001.799  001.799: sourcing /Users/cicloid/.vim/plugged/vim-bundler/plugin/bundler.vim
163.348  000.094  000.094: sourcing /Users/cicloid/.vim/plugged/vim-vroom/plugin/vroom.vim
163.679  000.214  000.214: sourcing /Users/cicloid/.vim/plugged/vimux/plugin/vimux.vim
165.577  001.782  001.782: sourcing /Users/cicloid/.vim/plugged/vim-sneak/plugin/sneak.vim
165.845  000.122  000.122: sourcing /Users/cicloid/.vim/plugged/vim-visual-star-search/plugin/visual-star-search.vim
166.270  000.305  000.305: sourcing /Users/cicloid/.vim/plugged/greplace.vim/plugin/greplace.vim
167.408  000.623  000.623: sourcing /Users/cicloid/.vim/plugged/vim-easymotion/autoload/EasyMotion.vim
169.083  002.680  002.057: sourcing /Users/cicloid/.vim/plugged/vim-easymotion/plugin/EasyMotion.vim
169.541  000.309  000.309: sourcing /Users/cicloid/.vim/plugged/vim-over/plugin/over.vim
170.364  000.681  000.681: sourcing /Users/cicloid/.vim/plugged/vim-anzu/plugin/anzu.vim
170.596  000.095  000.095: sourcing /Users/cicloid/.vim/plugged/vim-hopping/plugin/hopping.vim
171.068  000.341  000.341: sourcing /Users/cicloid/.vim/plugged/ack.vim/plugin/ack.vim
171.506  000.303  000.303: sourcing /Users/cicloid/.vim/plugged/vim-side-search/plugin/side-search.vim
171.795  000.142  000.142: sourcing /Users/cicloid/.vim/plugged/vim-indentobject/plugin/indentobject.vim
173.555  001.069  001.069: sourcing /Users/cicloid/.vim/plugged/vim-textobj-user/autoload/textobj/user.vim
175.252  003.276  002.207: sourcing /Users/cicloid/.vim/plugged/vim-textobj-rubysymbol/plugin/textobj/rubysymbol.vim
175.831  000.371  000.371: sourcing /Users/cicloid/.vim/plugged/textobj-word-column.vim/plugin/textobj/word-column.vim
182.221  006.180  006.180: sourcing /Users/cicloid/.vim/plugged/vim-textobj-datetime/plugin/textobj/datetime.vim
196.718  014.249  014.249: sourcing /Users/cicloid/.vim/plugged/vim-textobj-entire/plugin/textobj/entire.vim
200.297  003.349  003.349: sourcing /Users/cicloid/.vim/plugged/vim-textobj-function/plugin/textobj/function.vim
215.060  014.529  014.529: sourcing /Users/cicloid/.vim/plugged/vim-textobj-underscore/plugin/textobj/underscore.vim
216.250  000.425  000.425: sourcing /Users/cicloid/.vim/plugged/vim-indent-guides/autoload/indent_guides.vim
216.994  001.746  001.321: sourcing /Users/cicloid/.vim/plugged/vim-indent-guides/plugin/indent_guides.vim
232.041  014.814  014.814: sourcing /Users/cicloid/.vim/plugged/vim-textobj-rubyblock/plugin/textobj/rubyblock.vim
